Region,Company,Drop Ship Source,Main Group,Product Group,Order Type,Net Sales (HKD),Ordered,Date
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-11268,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1126010.57,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-7872,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,1363557.19,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Return,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,724.59,0,2022-01-03
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,69.5,0,2022-01-03
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-4202.4,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,1014439.75,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Event Sales,1574732.5,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,1942486.54,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Return,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Normal Sales,2441.03,0,2022-01-04
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Event Sales,224,0,2022-01-04
HK,EPH OU,ORDER ENTRY,8 - Service Items,X - 其他,EPH Normal Sales,12.5,0,2022-01-04
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,587958.18,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Consign-to-agent Sales,56977.84,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,603245.89,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,3 - 中學,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Return,-27623.9,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Normal Sales,862663.02,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Sample Return,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,1 - 幼兒,EPH Shortage Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Return,-7164.56,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Normal Sales,856582.52,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Sample Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,1 - 本版,2 - 小學,EPH Shortage Order,0,0,2022-01-06
