Year,Month,Series,Net Sales Amt
2022,1,E003384 - ABC for Nursery(1984),2204
2022,1,E003402 - Baby Caterpillar(2002),7190
2022,1,E003502 - Caterpillar 1(2002),26644.6
2022,1,E003602 - Caterpillar 2(2002),37294.2
2022,1,E004110 - English Learning Ladder(2010),260733.9
2022,1,E004700 - Learn with Stories - Shared Reading Programme(2000),29367.7
2022,1,E004994 - Letters and Sounds(1994),2695
2022,1,E005399 - My First ABC(B1999),0
2022,1,E006403 - Playtime English - Listen and Speak(2003),3209.1
2022,1,E006504 - Playtime Phonics(2004),68424.4
2022,1,E006706 - Pre-School Step Up(2006),888.5
2022,1,E007306 - Step Up Through Reading Pre-School(2006),33461.4
2022,1,E010406 - Pre-School Step Up - Picture Dictionary(2006),534
2022,1,E012912 - Kiddie Funtime English (2012),95946.4
2022,1,E013313 - Funtime English (2013),386549.82
2022,1,E013513 - Little Wonders Readers (2013),33682.4
2022,1,E014815 - Phonic Around Us(2015),152962.5
2022,1,E015016 - Fun Around Us(2016),780542.05
2022,1,E300415 - Preschool Smart Activities (2015),314.1
2022,1,E300515 - Preschool Smart Sticker Activities,1664
2022,1,E300816 - Pre-school Tracing Fun,139.6
2022,1,E300916 - Smart Early Learning,174.5
2022,1,E301719 - Wonder Tales,747947.36
2022,1,E301820 - Happy Wonders,72282.8
2022,1,E903321 - Happy Wonders(Special Edition),33810
2022,1,E014916 - Head Start(2017),753508.36
2022,1,E106510 - English to Enjoy(2010),678994.03
2022,1,E107605 - Step Up(2005),3149.28
2022,1,E107705 - Step Up through Reading(2005),15767.48
2022,1,E107803 - StoryLand Phonics(2003),0
2022,1,E116211 - POP READERS(2011),4730.85
2022,1,E117414 - Lighthouse for Hong Kong(2014),226452.44
2022,1,E119118 - STEM Reading Book,61.2
2022,1,E119219 - RaC Readers,7910.76
2022,1,E902117 - Better English (Lighthouse for Hong Kong),24589.67
2022,1,E902218 - English Wonderland,480
2022,1,E902318 - Lighthouse for Hong Kong (Special Edition),440.8
2022,1,E201213 - Practice and Progress in the HKDSE(2013),252.32
2022,1,E201514 - HKDSE English Mock Papers - Level Up,1747.98
2022,2,E003384 - ABC for Nursery(1984),3000
2022,2,E003402 - Baby Caterpillar(2002),2051.2
2022,2,E003502 - Caterpillar 1(2002),1883.7
2022,2,E003602 - Caterpillar 2(2002),1151
2022,2,E004110 - English Learning Ladder(2010),32238.6
2022,2,E004700 - Learn with Stories - Shared Reading Programme(2000),33601.3
2022,2,E005399 - My First ABC(B1999),0
2022,2,E006203 - Playtime English(2003),0
2022,2,E006504 - Playtime Phonics(2004),8099.2
2022,2,E006706 - Pre-School Step Up(2006),130.3
2022,2,E007306 - Step Up Through Reading Pre-School(2006),1993.6
2022,2,E012912 - Kiddie Funtime English (2012),31063.9
2022,2,E013212 - DoReMi Phonics,0
2022,2,E013313 - Funtime English (2013),30418
2022,2,E013513 - Little Wonders Readers (2013),3036.7
2022,2,E014815 - Phonic Around Us(2015),44053.9
2022,2,E015016 - Fun Around Us(2016),170663.1
2022,2,E015022 - Fun Around Us(2022),0
2022,2,E300415 - Preschool Smart Activities (2015),104.7
2022,2,E300816 - Pre-school Tracing Fun,133.3
2022,2,E301719 - Wonder Tales,144792.82
2022,2,E301820 - Happy Wonders,2015
2022,2,E014916 - Head Start(2017),103507.41
2022,2,E106510 - English to Enjoy(2010),133226.44
2022,2,E107599 - Step by Step Handwriting(B1999),30
2022,2,E107705 - Step Up through Reading(2005),144
2022,2,E117414 - Lighthouse for Hong Kong(2014),127389.36
2022,2,E119118 - STEM Reading Book,244.8
2022,2,E119219 - RaC Readers,4483.12
2022,2,E201213 - Practice and Progress in the HKDSE(2013),178
2022,2,E201514 - HKDSE English Mock Papers - Level Up,1506.6
2022,3,E003384 - ABC for Nursery(1984),2376
2022,3,E003502 - Caterpillar 1(2002),7230.6
2022,3,E003602 - Caterpillar 2(2002),7992.6
2022,3,E004110 - English Learning Ladder(2010),8137.2
2022,3,E004700 - Learn with Stories - Shared Reading Programme(2000),8368.7
2022,3,E005399 - My First ABC(B1999),0
2022,3,E005407 - New Playtime English(2007),-1448.4
2022,3,E006203 - Playtime English(2003),556.99
2022,3,E006504 - Playtime Phonics(2004),428.4
2022,3,E007306 - Step Up Through Reading Pre-School(2006),12826.2
2022,3,E010406 - Pre-School Step Up - Picture Dictionary(2006),164.7
2022,3,E012912 - Kiddie Funtime English (2012),16424.5
2022,3,E013212 - DoReMi Phonics,70
2022,3,E013313 - Funtime English (2013),5730.2
2022,3,E013513 - Little Wonders Readers (2013),9180.4
2022,3,E014815 - Phonic Around Us(2015),4394.8
2022,3,E015016 - Fun Around Us(2016),29646.35
2022,3,E015022 - Fun Around Us(2022),0
2022,3,E300415 - Preschool Smart Activities (2015),139
2022,3,E300515 - Preschool Smart Sticker Activities,52
2022,3,E300816 - Pre-school Tracing Fun,34.9
2022,3,E300916 - Smart Early Learning,1390.2
2022,3,E301719 - Wonder Tales,96849.29
2022,3,E301820 - Happy Wonders,7269
2022,3,E014916 - Head Start(2017),-543771.06
2022,3,E106510 - English to Enjoy(2010),-235986.68
2022,3,E107605 - Step Up(2005),-9554.4
2022,3,E107705 - Step Up through Reading(2005),-6831.76
2022,3,E107803 - StoryLand Phonics(2003),-19355.6
2022,3,E116211 - POP READERS(2011),-2748.13
2022,3,E117414 - Lighthouse for Hong Kong(2014),-553924.8
2022,3,E119118 - STEM Reading Book,-5115.06
2022,3,E119219 - RaC Readers,-4605.64
2022,3,E902117 - Better English (Lighthouse for Hong Kong),-202.31
2022,3,E902218 - English Wonderland,-14384.9
2022,3,E902318 - Lighthouse for Hong Kong (Special Edition),-11924.4
2022,3,E200309 - Skill Smart(2009),-1025.88
2022,3,E201213 - Practice and Progress in the HKDSE(2013),-7569.6
2022,3,E201412 - Exam Booster (2012),-179.28
2022,3,E201514 - HKDSE English Mock Papers - Level Up,143
2022,4,E003384 - ABC for Nursery(1984),750
2022,4,E003402 - Baby Caterpillar(2002),184
2022,4,E003602 - Caterpillar 2(2002),24.2
2022,4,E004110 - English Learning Ladder(2010),4904.8
2022,4,E004700 - Learn with Stories - Shared Reading Programme(2000),72
2022,4,E005399 - My First ABC(B1999),68
2022,4,E006203 - Playtime English(2003),1995
2022,4,E006303 - Playtime English - Chant and Act(2003),54
2022,4,E006403 - Playtime English - Listen and Speak(2003),1859.41
2022,4,E006504 - Playtime Phonics(2004),1927.8
2022,4,E007306 - Step Up Through Reading Pre-School(2006),43
2022,4,E010406 - Pre-School Step Up - Picture Dictionary(2006),623
2022,4,E012912 - Kiddie Funtime English (2012),3177.3
2022,4,E013313 - Funtime English (2013),5770.13
2022,4,E013513 - Little Wonders Readers (2013),1786.5
2022,4,E014815 - Phonic Around Us(2015),26035.8
2022,4,E015016 - Fun Around Us(2016),7017.99
2022,4,E015022 - Fun Around Us(2022),0
2022,4,E300415 - Preschool Smart Activities (2015),282.7
2022,4,E300916 - Smart Early Learning,216.3
2022,4,E301719 - Wonder Tales,163661.21
2022,4,E301820 - Happy Wonders,295.4
2022,4,E903321 - Happy Wonders(Special Edition),35420
2022,4,E014916 - Head Start(2017),1923.94
2022,4,E106510 - English to Enjoy(2010),-6387.53
2022,4,E107599 - Step by Step Handwriting(B1999),60
2022,4,E116211 - POP READERS(2011),117
2022,4,E117414 - Lighthouse for Hong Kong(2014),-91782.96
2022,4,E119118 - STEM Reading Book,489.6
2022,4,E119219 - RaC Readers,46.8
2022,4,E902218 - English Wonderland,268.1
2022,4,E201213 - Practice and Progress in the HKDSE(2013),-2503.66
2022,4,E201514 - HKDSE English Mock Papers - Level Up,1210.14
2022,5,E003384 - ABC for Nursery(1984),0
2022,5,E003502 - Caterpillar 1(2002),-146.4
2022,5,E003602 - Caterpillar 2(2002),3.5
2022,5,E004110 - English Learning Ladder(2010),-685.6
2022,5,E004700 - Learn with Stories - Shared Reading Programme(2000),188
2022,5,E005399 - My First ABC(B1999),0
2022,5,E006403 - Playtime English - Listen and Speak(2003),1265.21
2022,5,E006504 - Playtime Phonics(2004),84.68
2022,5,E006706 - Pre-School Step Up(2006),142.6
2022,5,E007306 - Step Up Through Reading Pre-School(2006),4734.8
2022,5,E010406 - Pre-School Step Up - Picture Dictionary(2006),540
2022,5,E012912 - Kiddie Funtime English (2012),9474.4
2022,5,E013313 - Funtime English (2013),-8392.48
2022,5,E013513 - Little Wonders Readers (2013),1898.6
2022,5,E014815 - Phonic Around Us(2015),-611.75
2022,5,E015016 - Fun Around Us(2016),55327.87
2022,5,E015022 - Fun Around Us(2022),0
2022,5,E016421 - Preschool Multilingual Picture Dictionary,0
2022,5,E300415 - Preschool Smart Activities (2015),36.1
2022,5,E300515 - Preschool Smart Sticker Activities,156
2022,5,E300816 - Pre-school Tracing Fun,656
2022,5,E300916 - Smart Early Learning,0
2022,5,E301719 - Wonder Tales,146111.42
2022,5,E301820 - Happy Wonders,814
2022,5,E903321 - Happy Wonders(Special Edition),32890
2022,5,E014916 - Head Start(2017),1447884.08
2022,5,E106510 - English to Enjoy(2010),457310.17
2022,5,E107599 - Step by Step Handwriting(B1999),113.46
2022,5,E107605 - Step Up(2005),415.56
2022,5,E107705 - Step Up through Reading(2005),155
2022,5,E107803 - StoryLand Phonics(2003),8068.8
2022,5,E116211 - POP READERS(2011),63
2022,5,E117414 - Lighthouse for Hong Kong(2014),1494763.36
2022,5,E119118 - STEM Reading Book,33010.74
2022,5,E119219 - RaC Readers,23171.94
2022,5,E902218 - English Wonderland,264.1
2022,5,E902318 - Lighthouse for Hong Kong (Special Edition),121.6
2022,5,E201514 - HKDSE English Mock Papers - Level Up,688.9
2022,6,E003402 - Baby Caterpillar(2002),-165.6
2022,6,E003502 - Caterpillar 1(2002),-81.1
2022,6,E003602 - Caterpillar 2(2002),168
2022,6,E004110 - English Learning Ladder(2010),7761.2
2022,6,E004700 - Learn with Stories - Shared Reading Programme(2000),18908.2
2022,6,E005399 - My First ABC(B1999),0
2022,6,E006303 - Playtime English - Chant and Act(2003),-64.8
2022,6,E006403 - Playtime English - Listen and Speak(2003),738.57
2022,6,E006504 - Playtime Phonics(2004),1238.07
2022,6,E007306 - Step Up Through Reading Pre-School(2006),38762.7
2022,6,E012912 - Kiddie Funtime English (2012),13179.75
2022,6,E013313 - Funtime English (2013),18145.2
2022,6,E013513 - Little Wonders Readers (2013),-891
2022,6,E014815 - Phonic Around Us(2015),68897.3
2022,6,E015016 - Fun Around Us(2016),239598.15
2022,6,E015022 - Fun Around Us(2022),29192.4
2022,6,E016219 - K2P Platform,61704
2022,6,E300515 - Preschool Smart Sticker Activities,-156
2022,6,E300816 - Pre-school Tracing Fun,524.8
2022,6,E300916 - Smart Early Learning,36.1
2022,6,E301719 - Wonder Tales,66188.07
2022,6,E301820 - Happy Wonders,2173
2022,6,E014916 - Head Start(2017),2671773.33
2022,6,E106510 - English to Enjoy(2010),752514.52
2022,6,E107605 - Step Up(2005),17797.89
2022,6,E107705 - Step Up through Reading(2005),27360.21
2022,6,E107803 - StoryLand Phonics(2003),23211.4
2022,6,E116211 - POP READERS(2011),10658.1
2022,6,E117414 - Lighthouse for Hong Kong(2014),5726404.6
2022,6,E119118 - STEM Reading Book,71265.09
2022,6,E119219 - RaC Readers,33907.5
2022,6,E902117 - Better English (Lighthouse for Hong Kong),27420.9
2022,6,E902218 - English Wonderland,27022.6
2022,6,E902318 - Lighthouse for Hong Kong (Special Edition),34884
2022,6,E201213 - Practice and Progress in the HKDSE(2013),13983.84
2022,6,E201514 - HKDSE English Mock Papers - Level Up,826.68
2022,7,E003384 - ABC for Nursery(1984),1178.1
2022,7,E003402 - Baby Caterpillar(2002),3052.8
2022,7,E003502 - Caterpillar 1(2002),10478.1
2022,7,E003602 - Caterpillar 2(2002),10523.3
2022,7,E004110 - English Learning Ladder(2010),161933.7
2022,7,E004700 - Learn with Stories - Shared Reading Programme(2000),13556.83
2022,7,E005399 - My First ABC(B1999),0
2022,7,E006303 - Playtime English - Chant and Act(2003),1074.4
2022,7,E006403 - Playtime English - Listen and Speak(2003),58.1
2022,7,E006504 - Playtime Phonics(2004),41798.36
2022,7,E006706 - Pre-School Step Up(2006),1021.2
2022,7,E007306 - Step Up Through Reading Pre-School(2006),6818.8
2022,7,E010406 - Pre-School Step Up - Picture Dictionary(2006),600
2022,7,E012912 - Kiddie Funtime English (2012),44392.2
2022,7,E013212 - DoReMi Phonics,504
2022,7,E013313 - Funtime English (2013),214246.85
2022,7,E013513 - Little Wonders Readers (2013),15178.6
2022,7,E014815 - Phonic Around Us(2015),134212.2
2022,7,E015016 - Fun Around Us(2016),476351.45
2022,7,E015022 - Fun Around Us(2022),407015.5
2022,7,E016219 - K2P Platform,36526
2022,7,E016421 - Preschool Multilingual Picture Dictionary,547.2
2022,7,E300816 - Pre-school Tracing Fun,1054
2022,7,E301719 - Wonder Tales,610033.65
2022,7,E301820 - Happy Wonders,19882.5
2022,7,E014916 - Head Start(2017),2454156.96
2022,7,E106510 - English to Enjoy(2010),623789.85
2022,7,E107599 - Step by Step Handwriting(B1999),175.46
2022,7,E107605 - Step Up(2005),8605.16
2022,7,E107705 - Step Up through Reading(2005),18438.45
2022,7,E107803 - StoryLand Phonics(2003),135837.9
2022,7,E116211 - POP READERS(2011),12882.51
2022,7,E117414 - Lighthouse for Hong Kong(2014),1626603.8
2022,7,E119118 - STEM Reading Book,26628.55
2022,7,E119219 - RaC Readers,42521.22
2022,7,E902117 - Better English (Lighthouse for Hong Kong),0
2022,7,E902218 - English Wonderland,55273.45
2022,7,E902318 - Lighthouse for Hong Kong (Special Edition),72960
2022,7,E201213 - Practice and Progress in the HKDSE(2013),35502.42
2022,7,E201514 - HKDSE English Mock Papers - Level Up,16533.6
2022,8,E003384 - ABC for Nursery(1984),3305.4
2022,8,E003402 - Baby Caterpillar(2002),4320.4
2022,8,E003502 - Caterpillar 1(2002),28804.2
2022,8,E003602 - Caterpillar 2(2002),8759.1
2022,8,E004110 - English Learning Ladder(2010),174834
2022,8,E004700 - Learn with Stories - Shared Reading Programme(2000),32982.14
2022,8,E004994 - Letters and Sounds(1994),17992.8
2022,8,E005399 - My First ABC(B1999),384
2022,8,E005407 - New Playtime English(2007),1450
2022,8,E006303 - Playtime English - Chant and Act(2003),250
2022,8,E006403 - Playtime English - Listen and Speak(2003),2440.2
2022,8,E006504 - Playtime Phonics(2004),95466.97
2022,8,E006706 - Pre-School Step Up(2006),6750.9
2022,8,E007306 - Step Up Through Reading Pre-School(2006),30770.02
