Region,Company,Drop Ship Source,Order Type,Net Sales (HKD),Ordered,Date
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-11268,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,112601,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-78721,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1363546,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,730,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,71,0,2022-01-03
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-4202.4,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1014439.75,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Event Sales,1574732.5,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1942486.54,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,2441.03,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Event Sales,224,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,12.5,0,2022-01-04
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,587958.18,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Consign-to-agent Sales,56977.84,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,603245.89,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-05
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-27623.9,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,862663.02,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-7164.56,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,856582.52,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-06
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-43132.8,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,571609.3,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,793084.78,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,70.5,0,2022-01-07
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-26533.6,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,943424.38,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Event Sales,120437.3,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-1140,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,434338.76,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-531,0,2022-01-10
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-7657.5,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1112536.11,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,555956.9,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,268.92,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,0,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,81.6,0,2022-01-11
HK,EPH OU,ORDER ENTRY,EPH Event Sales,53797,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Event Sample,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1459104.3,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-2247.49,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,921327.99,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,256.5,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,10,0,2022-01-12
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,2003394.88,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,562920.45,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-612.54,0,2022-01-13
HK,EPH OU,ORDER ENTRY,EPH Event Sales,170899,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Event Sample,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-1817,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1374241.3,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,141935.74,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,4007,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,41.5,0,2022-01-14
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1546896.3,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,170655.03,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,245.1,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,10,0,2022-01-17
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-12201.2,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,764052.82,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Event Sales,800,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,409790.74,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,3803.89,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,31,0,2022-01-18
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-2990,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,854981.94,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Event Sales,110,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,489669.26,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,60,0,2022-01-19
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1051550,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Event Sales,36100,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,678.88,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,46.5,0,2022-01-20
HK,EPH OU,ORDER ENTRY,EPH Event Sales,54467.8,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Event Sample,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-2459.4,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,794933.07,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Event Sales,359153.6,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,417791.71,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,61.5,0,2022-01-21
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-9893.6,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,445046.09,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-342.35,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,54950.4,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1550.5,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,3,0,2022-01-24
HK,EPH OU,ORDER ENTRY,EPH Event Sales,284709.6,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Event Sample,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-14369.5,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,670013.8,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Event Sales,1512779.7,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-31070.49,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,50012.34,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-270,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,433.26,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Event Sales,729.5,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1,0,2022-01-25
HK,EPH OU,ORDER ENTRY,EPH Event Sales,74454.9,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Event Sample,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,807913.78,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,125820.13,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,464,0,2022-01-26
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,156295.21,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-7589.6,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,22542.25,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,415,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,0,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,30,0,2022-01-27
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-5252.6,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,43061.62,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Shortage Return,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Event Sales,960899.1,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Normal Return,-14767.22,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,86472.41,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Sample Return,0,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Event Sales,0.5,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,30,0,2022-01-28
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,66284,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Shortage Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,1070,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,139,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,30,0,2022-01-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,0,193835.05,2023-03-31
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2023-03-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,0,30529.17,2023-03-31
HK,EPH OU,ORDER ENTRY,EPH Sample Order,0,0,2023-03-31
HK,EPH OU,ORDER ENTRY,EPH Normal Sales,0,5800.54,2023-03-31
